Neispravan redak 10 u datoteci ..\..\datoteke_podataka\dz2\DZ_2_ulice.txt.
Neispravan redak 4 u datoteci ..\..\datoteke_podataka\dz2\DZ_2_spremnici.txt.
Neispravan redak 8 u datoteci ..\..\datoteke_podataka\dz2\DZ_2_podrucja.txt.

ISPIS PRIDRUZENE KOLICINE OTPADA ZA KORISNIKE
|   ID|     Kategorija|       Bio|     Metal|   Mjesano|     Papir|    Staklo|                         Ulica|
|  126|           Mali|      8,03|      0,88|     13,44|      1,16|      5,55|               u6 Tina Ujevića|
|  127|           Mali|      9,12|      0,39|      5,23|      2,22|      5,25|               u6 Tina Ujevića|
|  128|           Mali|       2,7|      0,84|     27,62|      4,43|       1,4|               u6 Tina Ujevića|
|  129|           Mali|      8,04|      1,95|     25,41|      2,03|      0,97|               u6 Tina Ujevića|
|  130|           Mali|      2,97|      1,15|      7,99|      3,55|      5,62|               u6 Tina Ujevića|
|  131|           Mali|       8,7|      0,47|     18,64|      2,19|      5,82|               u6 Tina Ujevića|
|  132|           Mali|      3,47|       0,6|     15,61|      0,54|      2,03|               u6 Tina Ujevića|
|  133|           Mali|      4,84|      0,63|      5,91|      1,38|      6,47|               u6 Tina Ujevića|
|  134|           Mali|      2,94|      1,74|     29,86|      3,66|      5,58|               u6 Tina Ujevića|
|  135|           Mali|      1,65|      0,74|      9,06|      2,84|      4,04|               u6 Tina Ujevića|
|  136|           Mali|      1,14|      1,63|     22,61|      2,71|      1,76|               u6 Tina Ujevića|
|  137|           Mali|      6,36|      2,99|      18,5|      4,24|      1,28|               u6 Tina Ujevića|
|  138|           Mali|      3,91|      0,78|     26,55|      1,93|      2,89|               u6 Tina Ujevića|
|  139|           Mali|       7,5|       2,8|     29,89|      3,94|      1,35|               u6 Tina Ujevića|
|  140|           Mali|      7,07|       0,8|      4,48|      1,49|      6,04|               u6 Tina Ujevića|
|  141|           Mali|      3,01|      0,57|     20,67|      1,15|       1,2|               u6 Tina Ujevića|
|  142|           Mali|      6,68|      2,98|     14,11|      1,46|      2,54|               u6 Tina Ujevića|
|  143|           Mali|      5,93|      0,56|     13,12|      2,82|      5,23|               u6 Tina Ujevića|
|  144|           Mali|      8,67|      1,72|     23,54|      1,39|      1,24|               u6 Tina Ujevića|
|  145|           Mali|      4,09|      0,87|     27,08|      2,86|      3,57|               u6 Tina Ujevića|
|  146|           Mali|      1,69|      1,49|     13,16|      3,17|      5,53|               u6 Tina Ujevića|
|  147|        Srednji|     48,41|      4,27|     71,78|      6,69|     19,18|               u6 Tina Ujevića|
|  148|        Srednji|     47,65|      4,09|     42,53|     11,77|     19,18|               u6 Tina Ujevića|
|  149|        Srednji|     46,46|      3,19|     32,22|      6,94|      6,15|               u6 Tina Ujevića|
|  150|           Mali|      4,13|      1,32|     27,57|      3,51|       4,4|           u7 Ruđera Boškovića|
|  151|           Mali|      9,22|      1,19|     19,17|      3,62|      4,79|           u7 Ruđera Boškovića|
|  152|           Mali|      3,99|      2,34|     26,97|       4,7|       4,2|           u7 Ruđera Boškovića|
|  153|           Mali|      3,29|      2,77|      15,5|      3,98|       5,1|           u7 Ruđera Boškovića|
|  154|           Mali|      9,11|      0,66|     14,51|      3,64|       3,3|           u7 Ruđera Boškovića|
|  155|           Mali|      6,14|      1,88|     19,92|      2,42|      2,94|           u7 Ruđera Boškovića|
|  156|           Mali|      2,71|      1,11|     11,22|       4,9|      1,51|           u7 Ruđera Boškovića|
|  157|           Mali|       2,5|      0,55|     22,63|      1,48|      1,32|           u7 Ruđera Boškovića|
|  158|           Mali|      4,25|      2,74|      5,49|      4,89|      2,31|           u7 Ruđera Boškovića|
|  159|           Mali|      1,48|      1,49|     18,75|      4,88|       0,8|           u7 Ruđera Boškovića|
|  160|           Mali|      5,04|      1,09|     22,99|      2,36|      2,98|           u7 Ruđera Boškovića|
|  161|           Mali|      9,29|      1,59|     17,98|       2,9|      6,31|           u7 Ruđera Boškovića|
|  162|           Mali|      3,59|      2,35|     15,71|      0,99|       2,1|           u7 Ruđera Boškovića|
|  163|           Mali|      1,25|      1,83|     24,33|      3,35|      4,34|           u7 Ruđera Boškovića|
|  164|        Srednji|      31,1|      3,99|     36,62|     11,16|      11,7|           u7 Ruđera Boškovića|
|  165|        Srednji|     42,35|      4,09|     52,86|     12,52|     10,98|           u7 Ruđera Boškovića|
|  166|        Srednji|     49,52|      3,12|      41,2|     14,83|      10,1|           u7 Ruđera Boškovića|
|  167|        Srednji|     28,01|       4,4|     53,13|     11,23|     15,43|           u7 Ruđera Boškovića|
|  168|        Srednji|     34,47|      1,69|     60,33|     11,89|     13,03|           u7 Ruđera Boškovića|
|  169|        Srednji|     45,63|      3,47|     61,18|       5,6|      6,33|           u7 Ruđera Boškovića|
|  170|         Veliki|    121,12|     17,67|    111,37|     87,77|     28,38|           u7 Ruđera Boškovića|
|  171|         Veliki|    117,14|     25,05|    153,89|    114,96|     38,86|           u7 Ruđera Boškovića|
|  172|         Veliki|    164,28|     23,02|    126,42|    124,85|      18,4|           u7 Ruđera Boškovića|
|  173|         Veliki|     78,91|      25,2|    248,81|    105,75|     23,29|           u7 Ruđera Boškovića|
|  174|         Veliki|    182,35|     11,44|     137,4|    127,14|     46,21|           u7 Ruđera Boškovića|
|  175|         Veliki|      79,1|     11,85|    103,04|      98,3|     40,94|           u7 Ruđera Boškovića|
|  176|         Veliki|    126,46|     27,54|     95,99|     63,52|     22,67|           u7 Ruđera Boškovića|
|  177|         Veliki|    230,08|     14,61|    212,47|    105,17|      49,1|           u7 Ruđera Boškovića|
|  178|           Mali|      2,31|      1,95|     11,56|      4,65|         1|                    u8 Dravska|
|  179|           Mali|      4,94|      2,09|     10,21|      0,83|      5,76|                    u8 Dravska|
|  180|           Mali|      2,21|      1,91|     19,82|       2,5|      4,27|                    u8 Dravska|
|  181|           Mali|      1,34|      2,46|     12,74|      1,81|      4,48|                    u8 Dravska|
|  182|           Mali|      2,61|       2,3|       5,3|      2,89|       1,8|                    u8 Dravska|
|  183|           Mali|      5,33|      1,31|      8,38|      4,45|       6,5|                    u8 Dravska|
|  184|           Mali|      4,95|      2,69|     22,12|       1,9|      4,88|                    u8 Dravska|
|  185|           Mali|      3,67|      2,92|      14,4|      1,27|      6,81|                    u8 Dravska|
|  186|           Mali|      7,81|      2,18|     16,36|      4,31|      4,91|                    u8 Dravska|
|  187|           Mali|      7,04|      2,32|     14,57|      3,12|      5,58|                    u8 Dravska|
|  188|           Mali|      5,73|      0,92|     14,04|      3,98|         5|                    u8 Dravska|
|  189|           Mali|      1,55|      1,46|      13,7|      1,31|      3,96|                    u8 Dravska|
|  190|           Mali|      3,15|      0,79|     19,29|      3,65|      6,53|               u11 Varaždinska|
|  191|           Mali|      4,84|      0,72|     20,62|      3,02|      2,31|               u11 Varaždinska|
|  192|           Mali|      6,54|      1,66|      21,7|      1,95|       3,4|               u11 Varaždinska|
|  193|           Mali|      7,15|      2,96|      11,4|      4,25|      2,77|               u11 Varaždinska|
|  194|           Mali|      1,48|       2,2|     16,94|      1,08|      2,83|               u11 Varaždinska|
|  195|           Mali|      1,27|      1,27|      8,14|      0,87|      6,31|               u11 Varaždinska|
|  196|           Mali|       9,1|      2,75|      16,4|      3,83|      5,68|               u11 Varaždinska|
|  197|           Mali|      2,38|      1,54|      9,45|       3,5|       6,8|               u11 Varaždinska|
|  198|           Mali|      1,17|      1,17|      3,02|      2,42|      2,05|               u11 Varaždinska|
|  199|           Mali|       8,5|      1,96|      5,18|      1,72|      2,98|               u11 Varaždinska|
|  200|           Mali|      7,75|      2,32|      4,55|      1,38|      5,01|               u11 Varaždinska|
|  201|           Mali|       7,5|      0,64|     22,26|      4,99|      5,72|               u11 Varaždinska|
|  202|           Mali|      3,12|      0,64|     26,29|       1,4|       1,8|               u11 Varaždinska|
|  203|           Mali|      2,07|      1,93|     22,54|      2,36|      5,03|               u11 Varaždinska|
|  204|           Mali|         5|      2,55|      5,62|      2,18|      4,88|               u11 Varaždinska|
|  205|           Mali|      1,47|      2,15|      7,18|      4,13|      6,45|               u11 Varaždinska|
|  206|           Mali|      9,55|      1,72|     16,65|      2,61|       4,6|               u11 Varaždinska|
|  207|           Mali|      8,58|      0,73|      21,9|      4,97|      4,44|               u11 Varaždinska|
|  208|           Mali|      4,96|      2,29|      4,75|      2,92|      6,82|               u11 Varaždinska|
|  209|           Mali|       2,4|      0,53|     11,47|      1,86|      0,79|               u11 Varaždinska|
|  210|           Mali|      1,98|      1,63|     14,28|       3,5|      6,68|               u11 Varaždinska|
|  211|           Mali|      6,88|      1,12|      6,92|      2,14|      2,66|               u11 Varaždinska|
|  212|           Mali|      6,11|       0,5|      5,53|      1,91|      6,93|               u11 Varaždinska|
|  213|           Mali|      7,57|      0,77|     10,25|      3,53|      5,15|               u11 Varaždinska|
|  214|        Srednji|     26,78|      4,04|     80,13|      6,04|     15,11|               u11 Varaždinska|
|  215|        Srednji|      25,2|      2,57|     26,62|     10,66|      5,99|               u11 Varaždinska|
|  216|        Srednji|     39,54|      3,11|     36,44|     11,66|     13,77|               u11 Varaždinska|
|  217|        Srednji|     31,27|      2,67|     35,59|     14,69|     19,24|               u11 Varaždinska|
|  218|        Srednji|     37,89|      3,03|     76,88|     11,28|      7,68|               u11 Varaždinska|
|  219|        Srednji|     23,84|      1,67|     48,72|      8,56|     14,55|               u11 Varaždinska|


ISPIS OTPADA PO PODRUCJIMA I PODPODRUCJIMA
________________________________________________
STRUKTURA ISPISA:
- Ispis svih ulica u podrucju
- Ispis podrucja i njegovih podpodrucja
- Ispis ukupne kolicine otpada za podrucje
________________________________________________
ULICA [u1] Pavlinska
Staklo: 82,24kg
Papir: 94,7kg
Metal: 32,34kg
Mješano: 383,98kg

ULICA [u2] Alojzija Stepinca
Staklo: 57,22kg
Papir: 45,6kg
Metal: 22,46kg
Mješano: 232,31kg

ULICA [u3] Petra Krešimira IV
Staklo: 438,9kg
Papir: 760,5kg
Metal: 177,09kg
Mješano: 2400,19kg

ULICA [u7] Ruđera Boškovića
Staklo: 381,82kg
Papir: 942,31kg
Metal: 200,05kg
Mješano: 1757,45kg

ULICA [u8] Dravska
Staklo: 54,95kg
Papir: 33,02kg
Metal: 24,51kg
Mješano: 163,2kg

ULICA [u4] Zrinskih i Frankopana
Staklo: 359,5kg
Papir: 971,61kg
Metal: 224,45kg
Mješano: 2507,49kg

ULICA [u5] Krešimira Filića
Staklo: 557,08kg
Papir: 1417,97kg
Metal: 315,68kg
Mješano: 3180,14kg

ULICA [u6] Tina Ujevića
Staklo: 128,71kg
Papir: 85,06kg
Metal: 41,9kg
Mješano: 551,77kg

ULICA [u11] Varaždinska
Staklo: 184,96kg
Papir: 129,06kg
Metal: 53,63kg
Mješano: 616,71kg

[p1] EZO Aglomeracija Varaždin
_[p2] Varaždin grad
_[p3] Varaždin okolica

Ispis ukupne kolicine otpada za podrucje EZO Aglomeracija Varaždin
Staklo: 2245,38kg
Papir: 4479,83kg
Metal: 1092,11kg
Bio: 0kg
Mješano: 11793,24kg
________________________________________________

ULICA [u1] Pavlinska
Staklo: 82,24kg
Papir: 94,7kg
Metal: 32,34kg
Mješano: 383,98kg

ULICA [u2] Alojzija Stepinca
Staklo: 57,22kg
Papir: 45,6kg
Metal: 22,46kg
Mješano: 232,31kg

ULICA [u3] Petra Krešimira IV
Staklo: 438,9kg
Papir: 760,5kg
Metal: 177,09kg
Mješano: 2400,19kg

ULICA [u7] Ruđera Boškovića
Staklo: 381,82kg
Papir: 942,31kg
Metal: 200,05kg
Mješano: 1757,45kg

ULICA [u8] Dravska
Staklo: 54,95kg
Papir: 33,02kg
Metal: 24,51kg
Mješano: 163,2kg

ULICA [u4] Zrinskih i Frankopana
Staklo: 359,5kg
Papir: 971,61kg
Metal: 224,45kg
Mješano: 2507,49kg

ULICA [u5] Krešimira Filića
Staklo: 557,08kg
Papir: 1417,97kg
Metal: 315,68kg
Mješano: 3180,14kg

ULICA [u6] Tina Ujevića
Staklo: 128,71kg
Papir: 85,06kg
Metal: 41,9kg
Mješano: 551,77kg

[p2] Varaždin grad
_[p4] Centar
_[p5] Banfica
_[p6] Đurek

Ispis ukupne kolicine otpada za podrucje Varaždin grad
Staklo: 2060,42kg
Papir: 4350,77kg
Metal: 1038,48kg
Bio: 0kg
Mješano: 11176,53kg
________________________________________________

ULICA [u11] Varaždinska
Staklo: 184,96kg
Papir: 129,06kg
Metal: 53,63kg
Mješano: 616,71kg

[p3] Varaždin okolica
_[p7] Hrašcica

Ispis ukupne kolicine otpada za podrucje Varaždin okolica
Staklo: 184,96kg
Papir: 129,06kg
Metal: 53,63kg
Bio: 0kg
Mješano: 616,71kg
________________________________________________

ULICA [u1] Pavlinska
Staklo: 82,24kg
Papir: 94,7kg
Metal: 32,34kg
Mješano: 383,98kg

ULICA [u2] Alojzija Stepinca
Staklo: 57,22kg
Papir: 45,6kg
Metal: 22,46kg
Mješano: 232,31kg

ULICA [u3] Petra Krešimira IV
Staklo: 438,9kg
Papir: 760,5kg
Metal: 177,09kg
Mješano: 2400,19kg

[p4] Centar
_[u1] Pavlinska
_[u2] Alojzija Stepinca
_[u3] Petra Krešimira IV

Ispis ukupne kolicine otpada za podrucje Centar
Staklo: 578,36kg
Papir: 900,8kg
Metal: 231,89kg
Bio: 0kg
Mješano: 3016,48kg
________________________________________________

ULICA [u7] Ruđera Boškovića
Staklo: 381,82kg
Papir: 942,31kg
Metal: 200,05kg
Mješano: 1757,45kg

ULICA [u8] Dravska
Staklo: 54,95kg
Papir: 33,02kg
Metal: 24,51kg
Mješano: 163,2kg

[p5] Banfica
_[u7] Ruđera Boškovića
_[u8] Dravska

Ispis ukupne kolicine otpada za podrucje Banfica
Staklo: 436,77kg
Papir: 975,33kg
Metal: 224,56kg
Bio: 0kg
Mješano: 1920,65kg
________________________________________________

ULICA [u4] Zrinskih i Frankopana
Staklo: 359,5kg
Papir: 971,61kg
Metal: 224,45kg
Mješano: 2507,49kg

ULICA [u5] Krešimira Filića
Staklo: 557,08kg
Papir: 1417,97kg
Metal: 315,68kg
Mješano: 3180,14kg

ULICA [u6] Tina Ujevića
Staklo: 128,71kg
Papir: 85,06kg
Metal: 41,9kg
Mješano: 551,77kg

[p6] Đurek
_[u4] Zrinskih i Frankopana
_[u5] Krešimira Filića
_[u6] Tina Ujevića

Ispis ukupne kolicine otpada za podrucje Đurek
Staklo: 1045,29kg
Papir: 2474,64kg
Metal: 582,03kg
Bio: 0kg
Mješano: 6239,4kg
________________________________________________

ULICA [u11] Varaždinska
Staklo: 184,96kg
Papir: 129,06kg
Metal: 53,63kg
Mješano: 616,71kg

[p7] Hrašcica
_[u11] Varaždinska

Ispis ukupne kolicine otpada za podrucje Hrašcica
Staklo: 184,96kg
Papir: 129,06kg
Metal: 53,63kg
Bio: 0kg
Mješano: 616,71kg
________________________________________________
